instance_id,city_id,cluster_pattern,scale,instance_seed,n_tasks,n_used_buildings,mean_tasks_per_used_building,multi_task_building_count,multi_task_building_share,task_share_RES,task_share_OFF,task_share_COM,task_share_SCH,cluster_count,cluster_size_mean,cluster_size_cv,normalized_spatial_dispersion,road_nodes_city,directed_edges_city,road_length_km_city,mean_circuity_city,mean_directional_asymmetry_city,bks_technicians,bks_travel_time_min,unit_task_travel_time_min,lower_bound,upper_bound,gap,status
GISB-BJS-CH-100-S012,BJS,CH,100,12,100,38,2.6315789473684212,30,0.7894736842105263,0.65,0.09,0.24,0.02,15,6.666666666666667,0.2720294101747089,0.27197203597625874,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,1,689.280171,6.89280171,1,1,0,K-OPT
GISB-BJS-CH-100-S034,BJS,CH,100,34,100,39,2.5641025641025643,29,0.7435897435897436,0.82,0.16,0.0,0.02,15,6.666666666666667,0.317804971641414,0.25839487242793047,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,1,675.282881,6.75282881,1,1,0,K-OPT
GISB-BJS-CH-100-S056,BJS,CH,100,56,100,46,2.1739130434782608,36,0.782608695652174,0.68,0.15,0.03,0.14,15,6.666666666666667,0.2720294101747089,0.2561950037753139,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,1,729.212569,7.292125690000001,1,1,0,K-OPT
GISB-BJS-CH-100-S078,BJS,CH,100,78,100,44,2.272727272727273,31,0.7045454545454546,0.81,0.07,0.1,0.02,15,6.666666666666667,0.29325756597230357,0.2714475075831451,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,1,765.052293,7.650522929999999,1,1,0,K-OPT
GISB-BJS-CH-100-S090,BJS,CH,100,90,100,42,2.380952380952381,31,0.7380952380952381,0.67,0.16,0.17,0.0,15,6.666666666666667,0.3271085446759225,0.2794589974198457,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,1,685.442717,6.85442717,1,1,0,K-OPT
GISB-BJS-CH-1000-S012,BJS,CH,1000,12,1000,408,2.450980392156863,300,0.7352941176470589,0.757,0.099,0.083,0.061,143,6.993006993006993,0.28674727548836454,0.28560556663004966,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,6,11765.686688,11.765686688,5,6,1,K-OPEN
GISB-BJS-CH-1000-S034,BJS,CH,1000,34,1000,424,2.358490566037736,298,0.7028301886792453,0.679,0.149,0.099,0.073,143,6.993006993006993,0.26712543869875066,0.2789586508792321,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,7,11264.842812,11.264842812000001,5,7,2,K-OPEN
GISB-BJS-CH-1000-S056,BJS,CH,1000,56,1000,411,2.4330900243309004,296,0.7201946472019465,0.722,0.142,0.089,0.047,143,6.993006993006993,0.29413262314813027,0.2770695217201083,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,7,10715.61335,10.71561335,5,7,2,K-OPEN
GISB-BJS-CH-1000-S078,BJS,CH,1000,78,1000,407,2.457002457002457,296,0.7272727272727273,0.718,0.154,0.087,0.041,143,6.993006993006993,0.28474550040343044,0.27865077356890333,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,6,11601.648449,11.601648449,5,6,1,K-OPEN
GISB-BJS-CH-1000-S090,BJS,CH,1000,90,1000,419,2.386634844868735,302,0.720763723150358,0.754,0.121,0.072,0.053,143,6.993006993006993,0.2902171600715574,0.2838637127226667,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,7,10681.027212,10.681027212,5,7,2,K-OPEN
GISB-BJS-CH-500-S012,BJS,CH,500,12,500,214,2.336448598130841,147,0.6869158878504673,0.762,0.116,0.072,0.05,72,6.944444444444445,0.3025227264190246,0.27905131832322916,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,3,5853.732801,11.707465602000001,3,3,0,K-OPT
GISB-BJS-CH-500-S034,BJS,CH,500,34,500,217,2.304147465437788,155,0.7142857142857143,0.758,0.094,0.084,0.064,72,6.944444444444445,0.26928052287530935,0.2893745289242816,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,3,5813.348489,11.626696978,3,3,0,K-OPT
GISB-BJS-CH-500-S056,BJS,CH,500,56,500,209,2.3923444976076556,150,0.7177033492822966,0.704,0.138,0.112,0.046,72,6.944444444444445,0.2918629815512752,0.2783416814434499,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,3,5961.012867,11.922025734,3,3,0,K-OPT
GISB-BJS-CH-500-S078,BJS,CH,500,78,500,217,2.304147465437788,153,0.7050691244239631,0.734,0.104,0.116,0.046,72,6.944444444444445,0.3015692291995322,0.28348265915039883,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,3,5653.824107,11.307648214,3,3,0,K-OPT
GISB-BJS-CH-500-S090,BJS,CH,500,90,500,221,2.262443438914027,150,0.6787330316742082,0.696,0.158,0.086,0.06,72,6.944444444444445,0.267132925713024,0.2883066744135029,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,4,5794.622985,11.58924597,3,4,1,K-OPEN
GISB-BJS-CU-100-S012,BJS,CU,100,12,100,37,2.7027027027027026,28,0.7567567567567568,0.77,0.12,0.1,0.01,15,6.666666666666667,0.23664319132398462,0.2923317847009222,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,1,684.016106,6.840161060000001,1,1,0,K-OPT
GISB-BJS-CU-100-S034,BJS,CU,100,34,100,45,2.2222222222222223,33,0.7333333333333333,0.7,0.17,0.1,0.03,15,6.666666666666667,0.23021728866442676,0.2710927765484236,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,1,655.511465,6.55511465,1,1,0,K-OPT
GISB-BJS-CU-100-S056,BJS,CU,100,56,100,45,2.2222222222222223,31,0.6888888888888889,0.71,0.12,0.16,0.01,15,6.666666666666667,0.25495097567963926,0.2996837077929552,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,1,738.234085,7.38234085,1,1,0,K-OPT
GISB-BJS-CU-100-S078,BJS,CU,100,78,100,43,2.3255813953488373,28,0.6511627906976745,0.61,0.17,0.09,0.13,15,6.666666666666667,0.16124515496597097,0.2528367342814097,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,1,685.710339,6.85710339,1,1,0,K-OPT
GISB-BJS-CU-100-S090,BJS,CU,100,90,100,39,2.5641025641025643,28,0.717948717948718,0.73,0.1,0.12,0.05,15,6.666666666666667,0.19493588689617927,0.2720562433355843,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,1,731.281486,7.31281486,1,1,0,K-OPT
GISB-BJS-CU-1000-S012,BJS,CU,1000,12,1000,417,2.3980815347721824,300,0.7194244604316546,0.726,0.131,0.096,0.047,143,6.993006993006993,0.24940729740727313,0.2822499464949202,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,7,11480.26323,11.48026323,5,7,2,K-OPEN
GISB-BJS-CU-1000-S034,BJS,CU,1000,34,1000,417,2.3980815347721824,296,0.709832134292566,0.745,0.139,0.065,0.051,143,6.993006993006993,0.24419254697881346,0.2828827004854701,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,7,11329.548475,11.329548475,5,7,2,K-OPEN
GISB-BJS-CU-1000-S056,BJS,CU,1000,56,1000,430,2.3255813953488373,294,0.6837209302325581,0.744,0.134,0.065,0.057,143,6.993006993006993,0.2142475204057214,0.28102946969829856,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,7,11307.515378,11.307515378,5,7,2,K-OPEN
GISB-BJS-CU-1000-S078,BJS,CU,1000,78,1000,412,2.4271844660194173,290,0.7038834951456311,0.727,0.138,0.083,0.052,143,6.993006993006993,0.21290843102141352,0.2801300347774301,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,7,10658.714851,10.658714851000001,5,7,2,K-OPEN
GISB-BJS-CU-1000-S090,BJS,CU,1000,90,1000,412,2.4271844660194173,295,0.7160194174757282,0.723,0.126,0.106,0.045,143,6.993006993006993,0.2272047534714008,0.2798989037506696,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,6,11438.712164,11.438712164,5,6,1,K-OPEN
GISB-BJS-CU-500-S012,BJS,CU,500,12,500,220,2.272727272727273,146,0.6636363636363637,0.704,0.144,0.112,0.04,72,6.944444444444445,0.24462215762273049,0.2847801564402516,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,4,5678.480425,11.35696085,3,4,1,K-OPEN
GISB-BJS-CU-500-S034,BJS,CU,500,34,500,202,2.4752475247524752,146,0.7227722772277227,0.73,0.106,0.108,0.056,72,6.944444444444445,0.24579666393179544,0.2824946698284544,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,3,5624.334689,11.248669378,3,3,0,K-OPT
GISB-BJS-CU-500-S056,BJS,CU,500,56,500,211,2.3696682464454977,150,0.7109004739336493,0.718,0.136,0.086,0.06,72,6.944444444444445,0.2104471430074545,0.28818415148840165,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,3,5743.627561,11.487255122,3,3,0,K-OPT
GISB-BJS-CU-500-S078,BJS,CU,500,78,500,213,2.347417840375587,154,0.7230046948356808,0.696,0.132,0.126,0.046,72,6.944444444444445,0.20489997559785117,0.28361365235361957,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,4,5947.70905,11.8954181,3,4,1,K-OPEN
GISB-BJS-CU-500-S090,BJS,CU,500,90,500,220,2.272727272727273,151,0.6863636363636364,0.74,0.132,0.066,0.062,72,6.944444444444445,0.24812899870833313,0.274964959646087,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,3,5804.807663,11.609615325999998,3,3,0,K-OPT
GISB-BJS-CZ-100-S012,BJS,CZ,100,12,100,35,2.857142857142857,27,0.7714285714285715,0.74,0.11,0.1,0.05,15,6.666666666666667,0.23664319132398462,0.04583937248750877,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,1,132.695347,1.32695347,1,1,0,K-OPT
GISB-BJS-CZ-100-S034,BJS,CZ,100,34,100,60,1.6666666666666667,23,0.38333333333333336,0.64,0.19,0.12,0.05,15,6.666666666666667,0.23021728866442676,0.07000370998155182,10193,22733,3426.504140812174,1.3276120168182397,0.0561704733131041,1,253.696244,2.53696244,1,1,0,K-OPT
